1|havana|gene|11869|14409|.|+|.|||||||||transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5|||||||||||
1|havana|transcript|11869|14409|.|+|.||1.0|||||||transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||processed_transcript|ENST00000456328|DDX11L1-202|havana|1|2
1|havana|exon|11869|12227|.|+|.||1.0||||ENSE00002234944|1|1|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||processed_transcript|ENST00000456328|DDX11L1-202|havana|1|2
1|havana|exon|12613|12721|.|+|.||1.0||||ENSE00003582793|2|1|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||processed_transcript|ENST00000456328|DDX11L1-202|havana|1|2
1|havana|exon|13221|14409|.|+|.||1.0||||ENSE00002312635|3|1|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||processed_transcript|ENST00000456328|DDX11L1-202|havana|1|2
1|havana|transcript|12010|13670|.|+|.||1.0|||||||transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|12010|12057|.|+|.||1.0||||ENSE00001948541|1|1|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|12179|12227|.|+|.||1.0||||ENSE00001671638|2|2|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|12613|12697|.|+|.||1.0||||ENSE00001758273|3|2|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|12975|13052|.|+|.||1.0||||ENSE00001799933|4|2|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|13221|13374|.|+|.||1.0||||ENSE00001746346|5|2|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|exon|13453|13670|.|+|.||1.0||||ENSE00001863096|6|1|transcribed_unprocessed_pseudogene|ENSG00000223972|DDX11L1|havana|5||||||transcribed_unprocessed_pseudogene|ENST00000450305|DDX11L1-201|havana|NA|2
1|havana|gene|14404|29570|.|-|.|||||||||unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5|||||||||||
1|havana|transcript|14404|29570|.|-|.||1.0|||||||unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|29534|29570|.|-|.||1.0||||ENSE00001890219|1|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|24738|24891|.|-|.||1.0||||ENSE00003507205|2|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|18268|18366|.|-|.||1.0||||ENSE00003477500|3|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|17915|18061|.|-|.||1.0||||ENSE00003565697|4|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|17606|17742|.|-|.||1.0||||ENSE00003475637|5|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
1|havana|exon|17233|17368|.|-|.||1.0||||ENSE00003502542|6|1|unprocessed_pseudogene|ENSG00000227232|WASH7P|havana|5||||||unprocessed_pseudogene|ENST00000488147|WASH7P-201|havana|NA|1
