3/12/2014|Mortgage|Other mortgage|Loan modification,collection,foreclosure||||M&T BANK CORPORATION|MI|48382||N/A|Referral|3/17/2014|Closed with explanation|Yes|No|759217
10/1/2016|Credit reporting||Incorrect information on credit report|Account status|I have outdated information on my credit report that I have previously disputed that has yet to be removed this information is more then seven years old and does not meet credit reporting requirements|Company has responded to the consumer and the CFPB and chooses not to provide a public response|TRANSUNION INTERMEDIATE HOLDINGS, INC.|AL|352XX||Consent provided|Web|10/5/2016|Closed with explanation|Yes|No|2141773
10/17/2016|Consumer Loan|Vehicle loan|Managing the loan or lease||I purchased a new car on XXXX XXXX. The car dealer called Citizens Bank to get a 10 day payoff on my loan, good till XXXX XXXX. The dealer sent the check the next day. When I balanced my checkbook on XXXX XXXX. I noticed that Citizens bank had taken the automatic payment out of my checking account at XXXX XXXX XXXX Bank. I called Citizens and they stated that they did not close the loan until XXXX XXXX. ( stating that they did not receive the check until XXXX. XXXX. ). I told them that I did not believe that the check took that long to arrive. XXXX told me a check was issued to me for the amount overpaid, they deducted additional interest. Today ( XXXX XXXX, ) I called Citizens Bank again and talked to a supervisor named XXXX, because on XXXX XXXX. I received a letter that the loan had been paid in full ( dated XXXX, XXXX ) but no refund check was included. XXXX stated that they hold any over payment for 10 business days after the loan was satisfied and that my check would be mailed out on Wed. the XX/XX/XXXX.. I questioned her about the delay in posting the dealer payment and she first stated that sometimes it takes 3 or 4 business days to post, then she said they did not receive the check till XXXX XXXX I again told her that I did not believe this and asked where is my money. She then stated that they hold the over payment for 10 business days. I asked her why, and she simply said that is their policy. I asked her if I would receive interest on my money and she stated no. I believe that Citizens bank is deliberately delaying the posting of payment and the return of consumer 's money to make additional interest for the bank. If this is not illegal it should be, it does hurt the consumer and is not ethical. My amount of money lost is minimal but if they are doing this on thousands of car loans a month, then the additional interest earned for them could be staggering. I still have another car loan from Citizens Bank and I am afraid when I trade that car in another year I will run into the same problem again.||CITIZENS FINANCIAL GROUP, INC.|PA|177XX|Older American|Consent provided|Web|10/20/2016|Closed with explanation|Yes|No|2163100
6/8/2014|Credit card||Bankruptcy||||AMERICAN EXPRESS COMPANY|ID|83854|Older American|N/A|Web|6/10/2014|Closed with explanation|Yes|Yes|885638
9/13/2014|Debt collection|Credit card|Communication tactics|Frequent or repeated calls|||CITIBANK, N.A.|VA|23233||N/A|Web|9/13/2014|Closed with explanation|Yes|Yes|1027760
11/13/2013|Mortgage|Conventional adjustable mortgage (ARM)|Loan servicing, payments, escrow account||||U.S. BANCORP|MN|48322||N/A|Phone|11/20/2013|Closed with monetary relief|Yes|No|596562
6/16/2015|Debt collection|Medical|Improper contact or sharing of info|Contacted employer after asked not to||Company believes it acted appropriately as authorized by contract or law|California Accounts Service|CA|92111||Consent not provided|Web|6/19/2015|Closed with explanation|Yes|No|1422680
6/15/2015|Credit reporting||Credit reporting company's investigation|Inadequate help over the phone|"An account on my credit report has a mistaken date. I mailed in a debt validation letter to allow XXXX to correct the information. I received a letter in the mail, stating that Experian received my correspondence and found it to be "" suspicious '' and that "" I did n't write it ''. Experian 's letter is worded to imply that I am incapable of writing my own letter. I was deeply offended by this implication. 
I called Experian to figure out why my letter was so suspicious. I spoke to a representative who was incredibly unhelpful, She did not effectively answer any questions I asked of her, and she kept ignoring what I was saying regarding the offensive letter and my dispute process. I feel the representative did what she wanted to do, and I am not satisfied. It is STILL not clear to me why I received this letter. I typed this letter, I signed this letter, and I paid to mail this letter, yet Experian willfully disregarded my lawful request. 
I am disgusted with this entire situation, and I would like for my dispute to be handled appropriately, and I would like for an Experian representative to contact me and give me a real explanation for this letter."|Company chooses not to provide a public response|Experian Information Solutions Inc.|VA|224XX||Consent provided|Web|6/15/2015|Closed with explanation|Yes|No|1420702
11/13/2015|Mortgage|Other mortgage|Loan modification,collection,foreclosure|||Company believes it acted appropriately as authorized by contract or law|Aldridge Pite, LLP|CA|93101||N/A|Referral|12/10/2015|Closed with explanation|Yes|Yes|1654890
10/21/2014|Mortgage|Conventional fixed mortgage|Loan modification,collection,foreclosure||||OCWEN LOAN SERVICING LLC|FL|32714|Older American|N/A|Web|10/21/2014|Closed with explanation|Yes|No|1079567
