5092469481|GZH7067|NY|PAS|07/10/2016|7|SUBN|TOYOT|V|0|0|0|0||0|0|0|||BX|||ALLERTON AVE (W/B) @|BARNES AVE|0|1111|D|T||GY||2001||0||FAILURE TO STOP AT RED LIGHT|||
5092451658|GZH7067|NY|PAS|07/08/2016|7|SUBN|TOYOT|V|0|0|0|0||0|0|0|||BX|||ALLERTON AVE (W/B) @|BARNES AVE|0|1111|D|T||GY||2001||0||FAILURE TO STOP AT RED LIGHT|||
4006265037|FZX9232|NY|PAS|08/23/2016|5|SUBN|FORD|V|0|0|0|0||0|0|0|||BX|||SB WEBSTER AVE @ E 1|94TH ST|0|1111|C|T||BK||2004||0||BUS LANE VIOLATION|||
8478629828|66623ME|NY|COM|06/14/2017|47|REFG|MITSU|T|10610|34330|34350|20180630|14|14|14|359594|T102|J|NY|O|330|7th Ave||0|408|l2||Y|WH||2007||0|04|47-Double PKG-Midtown|||
7868300310|37033JV|NY|COM|11/21/2016|69|DELV|INTER|T|10510|34310|34330|20170228|13|13|13|364832|T102|M|NY|F|799|6th Ave||0|408|h1||Y|WHITE||2007||0|31 6|69-Failure to Disp Muni Recpt|||
5096917368|FZD8593|NY|PAS|06/13/2017|7|SUBN|ME/BE|V|0|0|0|0||0|0|0|||QN|||NORTHERN BLVD (E/B)|@ MARATHON PKWY|0|1111|D|T||WH||2012||0||FAILURE TO STOP AT RED LIGHT|||
1413609545|X20DCM|NJ|PAS|08/03/2016|40|SDN|TOYOT|P|54070|39430|54930|0|71|71|71|960290|0071|0000|K|F|439|KINGSTON||0|408|C3||BBBBBBB|WHITE|0|0|-|1|||||
4628525523|326SF9|MA|PAS|12/21/2016|36|UT|BMW|V|0|0|0|0||0|0|0|||BX|||EB E GUN HILL RD @ B|ARNES AVE|0|1180|B|T||||2001||0||PHTO SCHOOL ZN SPEED VIOLATION|||
4627113330|HCA5464|NY|OMS|11/21/2016|36|SUBN|DODGE|V|0|0|0|0||0|0|0|||QN|||NB BAISLEY BLVD @ 15|5TH ST|0|1180|B|T||BK||2016||0||PHTO SCHOOL ZN SPEED VIOLATION|||
4006478550|VAD7274|VA|PAS|10/05/2016|5|4D|BMW|V|0|0|0|0||0|0|0|||BX|||SB WEBSTER AVE @ E 2|04TH ST|0|1111|C|T||BLK||2008||0||BUS LANE VIOLATION|||
1407740258|2513JMG|NY|COM|01/11/2017|78|DELV|FRUEH|P|0|40404|40404|20161130|106|106|106|960979|0106|0000|Q||126|ST 115 AVE||0|408|E2||BBBBBBB|WHITE|0|2015|-|0|||||
8009901763|13657MD|NY|COM|09/27/2016|19|DELV|KENWO|T|10510|34870|34890|20170331|18|18|18|357355|T400|A|NY|O|1365|6th Ave||0|408|c3||YYYYYYY|RD||2013||0|01 9|19-No Stand (bus stop)|||
4625926610|N102911C|NY|OMT|10/27/2016|36|VAN|FORD|V|0|0|0|0||0|0|0|||QN|||EB HORACE HARDING EX|PRESSWAY @ PECK AVE|0|1180|B|T||WH||2008||0||PHTO SCHOOL ZN SPEED VIOLATION|||
1416492320|FGR5997|NY|PAS|09/30/2016|21|SDN|NISSA|P|53620|74250|74260|20170303|44|44|44|905733|0044|0000|BX|F|1224|NELSON AVE||0|408|F1||BYBBYBB|TAN|0|0|-|0|||||
1413656420|T672371C|NY|PAS|02/04/2017|40|TAXI|TOYOT|P|59630|73470|82230|20170531|73|73|73|960758|0073|0000|K|F|279|MCDOUGAL ST||0|408|F1||BBBBBBB|BLK|0|2015|-|0|||||
7959486440|GYF2052|NY|PAS|07/07/2016|71|4DSD|VOLKS|T|70407|17390|48890|20170527|120|120|120|356557|T303|E|R|F|143|N St Austins Pl||0|408|j6|||GY||2012||0|C-PM|71-Insp. Sticker Missing (NYS|||
5093620865|AD80228|AZ|PAS|09/24/2016|7|TK|FORD|V|0|0|0|0||0|0|0|||QN|||SO CONDUIT AVE (E/B)|@ 89TH ST|0|1111|D|T||||2009||0||FAILURE TO STOP AT RED LIGHT|||
8480309064|51771JW|NY|COM|01/26/2017|64|VAN|INTER|T|17850|10210|10110|88888888|17|17|17|363557|T102|L|NY|F|204|E 43rd St||0|408|C8||YYYYYYY|BROWN||2007||0|06|64-No STD Ex Con/DPL, D/S Dec|||
1416638830|GLP367|NY|PAS|04/30/2017|20|SUBN|DODGE|P|17650|10110|10010|20180304|17|17|17|940179|0017|0000|NY|O|330|E 33 ST||0|408|E2||YYYYYYY|BLK|0|2009|-|0|||||
4630524241|HJBP29|FL|PAS|02/03/2017|36|4D|BMW|V|0|0|0|0||0|0|0|||BK|||WB LINDEN BLVD @ SCH|ENCK AVE|0|1180|B|T||SIL||2009||0||PHTO SCHOOL ZN SPEED VIOLATION|||
8505131836|87155MA|NY|COM|05/27/2017|38|VAN|CHEVR|T|27050|15350|44890|20171231|1|1|1|351949|T105|C|NY|F|50|Murray St||0|408|h1||Y|WH||2016||0|023|38-Failure to Display Muni Rec|||
8472853342|HJN6543|NY|PAS|10/04/2016|71|2DSD|LINCO|T|39680|23290|58590|20180915|107|107|107|363074|T402|R|Q|F|150-34|Coolidge Ave||0|408|j6||YYYYYYY|RD||1989||0|H 42|71A-Insp Sticker Expired (NYS)|||
8513520615|77026MG|NY|COM|05/31/2017|14|TRAC|VOLVO|T|15710|35670|35690|20180430|24|24|24|352009|T103|E|NY|F|730|Columbus Ave||0|408|c||YYYYY|GREEN||2016||0|H|14-No Standing|||
8556155431|HFB9919|NY|PAS|05/26/2017|75|4DSD|DODGE|T|10090|7890|7990|20180412|114|114|114|359604|T401|C|Q|F|30-87|44th St||0|408|j5||YYYYYYY|GY||2013||0|25-A|75-No Match-Plate/Reg. Sticker|||
8483087236|76822MH|NY|COM|05/19/2017|10|DELV|HIN|T|10810|34490|34510|20170531|14|14|14|356484|T106|P|NY|F|535|8th Ave||0|408|b||YYYYYYY|WH||2012||0|10|10-No Stopping|||
8513914599|65572JU|NY|COM|06/09/2017|69|VAN|FORD|T|10110|18270|18290|20171231|19|19|19|358635|T103|BB|NY|F|1237|2nd Ave||0|408|h1||YYYYY|WH||2009||0|09|69-Failure to Disp Muni Recpt|||
8344027755|GUP8589|NY|PAS|12/07/2016|21|SUBN|NISSA|T|67730|14480|14530|20181119|61|61|61|362553|T302|I|K|F|1802|Ocean Pky||0|408|d1||Y|SILVE||2008||0|03 3|21-No Parking (street clean)|||
8040135217|GTV5924|NY|PAS|11/19/2016|38|SUBN|HONDA|T|13610|13610|10510|20181007|13|13|13|353435|T102|F|NY|F|1165|Broadway||0|408|h1||Y|WH||2014||0|09 6|38-Failure to Display Muni Rec|||
8466021980|GSC6098|NY|PAS|12/27/2016|50|4DSD|NISSA|T|0|0|0|20180706|102|102|102|361861|T402|B|Q|I|N|95th Ave|0ft E/of 110th St|0|408|e5|||WH||2009||0|40 4|50-Crosswalk|||
8357020770|Y56DLT|NJ|PAS|01/20/2017|21|4DSD|CHEVR|T|60810|22280|22390|88888888|113|113|113|361320|T803|BB|Q|F|153-90|Rockaway Blvd||0|408|d1||Y|BLACK||0||0|F|21-No Parking (street clean)|||
7047487591|50741JZ|NY|COM|04/13/2017|38|UTIL|GMC|T|17140|0|0|88888888|115|115|115|357759|T401|U|Q|I|W|84th St|40ft N/of Roosevelt|0|408|h1||Y|WHITE||2008||0|12|38-Failure to Display Muni Rec|||
8122530205|95139JC|NY|COM|01/05/2017|48|DELV|INTER|T|10110|17870|17890|20170430|13|13|13|363095|T506|G|NY|O|837|2nd Ave||0|408|e9|||RDW||1993||0|06 6|48-Bike Lane|||
1419707358|V97GVE|NJ|PAS|02/18/2017|21|SUBN|ME/BE|S|28830|67780|23030|0|60|60|0|589383|KS15|0000|K|O|3250|CONEY IS AVE||0|408|D1||YYYYYYB|BLK|0|0|-|0|||||
